0 min;;10 min;;20 min;;30 min;;40 min;;50 min;;60 min;;90 min;;120 min;;
Long.de onda (nm);Abs;Long.de onda (nm);Abs;Long.de onda (nm);Abs;Long.de onda (nm);Abs;Long.de onda (nm);Abs;Long.de onda (nm);Abs;Long.de onda (nm);Abs;Long.de onda (nm);Abs;Long.de onda (nm);Abs;
748,0151978;-0,007678051013;748,0151978;-0,003843369661;748,0151978;-0,005032420624;748,0151978;-0,01087268069;748,0151978;-0,010725623;748,0151978;-0,0111772418;748,0151978;-0,01019940432;748,0151978;-0,01092836913;748,0151978;-0,01510157436;
746,9894409;-0,007285554428;746,9894409;-0,004118078854;746,9894409;-0,005332103465;746,9894409;-0,01202166732;746,9894409;-0,01105582621;746,9894409;-0,0123586366;746,9894409;-0,01095946692;746,9894409;-0,01089141238;746,9894409;-0,01582630724;
745,9986572;-0,008288862184;745,9986572;-0,00472162338;745,9986572;-0,00556932902;745,9986572;-0,01181922946;745,9986572;-0,01089010015;745,9986572;-0,01257103309;745,9986572;-0,0111569576;745,9986572;-0,01137806289;745,9986572;-0,01561849378;
745,0076294;-0,007977133617;745,0076294;-0,00395147875;745,0076294;-0,005579499993;745,0076294;-0,01128434762;745,0076294;-0,01010320988;745,0076294;-0,01212992519;745,0076294;-0,01108161639;745,0076294;-0,011283339;745,0076294;-0,01507342141;
744,0161133;-0,007713502273;744,0161133;-0,004301531706;744,0161133;-0,005688352976;744,0161133;-0,0119891353;744,0161133;-0,01060105022;744,0161133;-0,0120275598;744,0161133;-0,01077092718;744,0161133;-0,01165520493;744,0161133;-0,01553543005;
742,9888916;-0,007871801965;742,9888916;-0,004565142095;742,9888916;-0,005281880964;742,9888916;-0,01199648809;742,9888916;-0,01109726075;742,9888916;-0,01205983758;742,9888916;-0,01125246566;742,9888916;-0,01136247814;742,9888916;-0,01596970111;
741,9967651;-0,00837052986;741,9967651;-0,004615959711;741,9967651;-0,005804126151;741,9967651;-0,01226926036;741,9967651;-0,01152918488;741,9967651;-0,01238102838;741,9967651;-0,01183006167;741,9967651;-0,01191287953;741,9967651;-0,01619495451;
741,0041504;-0,008072226308;741,0041504;-0,004030734301;741,0041504;-0,005215897225;741,0041504;-0,01192627847;741,0041504;-0,01101317629;741,0041504;-0,01222969871;741,0041504;-0,01064081024;741,0041504;-0,01136293262;741,0041504;-0,01660709083;
740,0112915;-0,008115623146;740,0112915;-0,004185818601;740,0112915;-0,005277891178;740,0112915;-0,01224031951;740,0112915;-0,01168282423;740,0112915;-0,01202338003;740,0112915;-0,01132964436;740,0112915;-0,01208395697;740,0112915;-0,01626612246;
738,982605;-0,007498919498;738,982605;-0,003991544247;738,982605;-0,005019114818;738,982605;-0,01185207721;738,982605;-0,01113339327;738,982605;-0,01186431944;738,982605;-0,01118697971;738,982605;-0,01161936857;738,982605;-0,01687349752;
737,9890137;-0,008272201754;737,9890137;-0,004694582429;737,9890137;-0,005250782706;737,9890137;-0,01171996631;737,9890137;-0,01159366127;737,9890137;-0,01220045425;737,9890137;-0,01164774597;737,9890137;-0,01161039621;737,9890137;-0,01710420474;
736,9951172;-0,008941267617;736,9951172;-0,005608325824;736,9951172;-0,006597307976;736,9951172;-0,0128558604;736,9951172;-0,01188628282;736,9951172;-0,01322447509;736,9951172;-0,0123120388;736,9951172;-0,01245403197;736,9951172;-0,0174175594;
736,0007935;-0,008311464451;736,0007935;-0,004963789135;736,0007935;-0,006048752926;736,0007935;-0,01232512295;736,0007935;-0,01259894576;736,0007935;-0,01339081954;736,0007935;-0,01194813848;736,0007935;-0,01236422174;736,0007935;-0,01819985919;
735,0061646;-0,008491225541;735,0061646;-0,004819273949;735,0061646;-0,006203833036;735,0061646;-0,01263188571;735,0061646;-0,01158100832;735,0061646;-0,01270218287;735,0061646;-0,01179771591;735,0061646;-0,01225546934;735,0061646;-0,01788508147;
734,0111694;-0,008432329632;734,0111694;-0,004795874469;734,0111694;-0,006043391768;734,0111694;-0,01217483077;734,0111694;-0,0118061807;734,0111694;-0,01187117025;734,0111694;-0,01205535606;734,0111694;-0,01227711141;734,0111694;-0,01795035973;
733,0158081;-0,009037365206;733,0158081;-0,005529306363;733,0158081;-0,006226697005;733,0158081;-0,01290858164;733,0158081;-0,01215791609;733,0158081;-0,01321081538;733,0158081;-0,01233679708;733,0158081;-0,0127870962;733,0158081;-0,01839175262;
731,9846191;-0,008879135363;731,9846191;-0,005620540585;731,9846191;-0,006371051073;731,9846191;-0,01327077486;731,9846191;-0,01260005217;731,9846191;-0,01394703053;731,9846191;-0,0126532577;731,9846191;-0,01286958158;731,9846191;-0,01839403622;
730,9885864;-0,008850018494;730,9885864;-0,005418163724;730,9885864;-0,006235985551;730,9885864;-0,01338735595;730,9885864;-0,01250846218;730,9885864;-0,01364445593;730,9885864;-0,01236613374;730,9885864;-0,01270253491;730,9885864;-0,01820055395;
729,9922485;-0,009204256348;729,9922485;-0,005503389053;729,9922485;-0,006517753936;729,9922485;-0,01335216407;729,9922485;-0,01256912202;729,9922485;-0,01391704846;729,9922485;-0,01269740611;729,9922485;-0,01290848106;729,9922485;-0,01898278482;
